+ Add Milestone,+ បន្ថែមព្រឹត្តិការណ៍សំខាន់
Add Task (Shift+T),បន្ថែមភារកិច្ច (Shift+T)
Added Finish-to-Start dependency,បានបន្ថែមភាពអាស្រ័យបញ្ចប់ទៅចាប់ផ្ដើម
Adding this dependency would create a circular reference: {0},ការបន្ថែមភាពអាស្រ័យនេះនឹងបង្កើតឯកសារយោងរង្វង់: {0}
Adding...,កំពុងបន្ថែម...
Address,អាសយដ្ឋាន
Advanced,កម្រិតខ្ពស់
All,ទាំងអស់
All Active,សកម្មទាំងអស់
All Assignees,អ្នកទទួលបន្ទុកទាំងអស់
All Categories,ប្រភេទទាំងអស់
All caught up!,ទាន់សម័យហើយ!
All Contexts,បរិបទទាំងអស់
All day,ពេញមួយថ្ងៃ
All day event,ព្រឹត្តិការណ៍ពេញមួយថ្ងៃ
All fields,វាលទាំងអស់
All Priorities,អាទិភាពទាំងអស់
All Projects,គម្រោងទាំងអស់
All Status,ស្ថានភាពទាំងអស់
All Statuses,ស្ថានភាពទាំងអស់
All task dependencies & relative dates,ភាពអាស្រ័យភារកិច្ចទាំងអស់ និងកាលបរិច្ឆេទដែលទាក់ទង
All Tasks,ភារកិច្ចទាំងអស់
All tasks across all projects.,ភារកិច្ចទាំងអស់ឆ្លងកាត់គម្រោងទាំងអស់។
All tasks are already linked,ភារកិច្ចទាំងអស់ត្រូវបានភ្ជាប់រួចហើយ
All team members,សមាជិកក្រុមទាំងអស់
All Types,ប្រភេទទាំងអស់
All Users,អ្នកប្រើប្រាស់ទាំងអស់
Allocated,បានបែងចែក
allocated,បានបែងចែក
Allow users to log time against tasks,អនុញ្ញាតឱ្យអ្នកប្រើប្រាស់កត់ត្រាពេលវេលាទៅលើភារកិច្ច
Already exported to timesheet {0},បាននាំចេញទៅតារាងពេលវេលា {0} រួចហើយ
Already Migrated,បានផ្លាស់ប្ដូររួចហើយ
Anyone with access,នរណាក៏ដោយដែលមានសិទ្ធិចូលប្រើ
anytime to show this help,គ្រប់ពេលដើម្បីបង្ហាញជំនួយនេះ
App Updates,App Updates
Appearance,រូបរាង
Apply,អនុវត្ត
Apply cascade?,អនុវត្តបន្តបន្ទាប់?
Apply Changes,អនុវត្តការផ្លាស់ប្ដូរ
Apply failed,ការអនុវត្តបានបរាជ័យ
Apply Template,អនុវត្តគំរូ
Applying...,កំពុងអនុវត្ត...
Appointment,ការណាត់ជួប
Appointment and resource are required,ការណាត់ជួប និងធនធានគឺចាំបាច់
Appointment name is required,ឈ្មោះការណាត់ជួបគឺចាំបាច់
Appointment not found,រកមិនឃើញការណាត់ជួប
Appointment {0} not found,រកមិនឃើញការណាត់ជួប {0}
Apps,កម្មវិធី
Archive,រក្សាទុក
Archive Activity,រក្សាទុកសកម្មភាព
Archived,បានរក្សាទុក
Are you sure you want to delete this activity data? This cannot be undone.,តើអ្នកប្រាកដថាចង់លុបទិន្នន័យសកម្មភាពនេះមែនទេ? វាមិនអាចត្រឡប់វិញបានទេ។
Are you sure you want to delete this comment?,តើអ្នកប្រាកដថាចង់លុបមតិយោបល់នេះមែនទេ?
Are you sure you want to delete this project?,តើអ្នកប្រាកដថាចង់លុបគម្រោងនេះមែនទេ?
Are you sure?,តើអ្នកប្រាកដមែនទេ?
Ascending -- click to reverse,ឡើង -- ចុចដើម្បីបញ្ច្រាស
Assign To,ចាត់តាំងទៅ
Assign to Me,ចាត់តាំងមកខ្ញុំ
Assigned Contact,ទំនាក់ទំនងដែលបានចាត់តាំង
Assigned To,បានចាត់តាំងទៅ
Assigned to,បានចាត់តាំងទៅ
Assigned to Me,បានចាត់តាំងមកខ្ញុំ
Assignee,អ្នកទទួលបន្ទុក
Assignment,ការចាត់តាំង
Assignment History,ប្រវត្តិការចាត់តាំង
Assignment name is required,ឈ្មោះការចាត់តាំងគឺចាំបាច់
Assignment {0} not found,រកមិនឃើញការចាត់តាំង {0}
Assignments,ការចាត់តាំងនានា
At least one action is required,ត្រូវការសកម្មភាពយ៉ាងហោចណាស់មួយ
At least one event is required,ត្រូវការព្រឹត្តិការណ៍យ៉ាងហោចណាស់មួយ
At least one event must be selected,ត្រូវជ្រើសរើសព្រឹត្តិការណ៍យ៉ាងហោចណាស់មួយ
Attachment,ឯកសារភ្ជាប់
Attachments,ឯកសារភ្ជាប់នានា
Attendees,អ្នកចូលរួម
"Audit trail, assignments, version history",ផ្លូវសវនកម្ម ការចាត់តាំង ប្រវត្តិកំណែ
Auto,ស្វ័យប្រវត្តិ
Auto Calculate Progress,គណនាវឌ្ឍនភាពស្វ័យប្រវត្តិ
Auto Set Missed Milestones,កំណត់ព្រឹត្តិការណ៍សំខាន់ដែលខកខានស្វ័យប្រវត្តិ
Auto-shift dependents when dates change,ផ្លាស់ប្ដូរភាពអាស្រ័យស្វ័យប្រវត្តិពេលកាលបរិច្ឆេទប្ដូរ
Auto-Trail Start,ចាប់ផ្ដើមផ្លូវស្វ័យប្រវត្តិ
Auto-Trail updated,ផ្លូវស្វ័យប្រវត្តិត្រូវបានធ្វើបច្ចុប្បន្នភាព
Automatically calculate project progress from task completion,គណនាវឌ្ឍនភាពគម្រោងស្វ័យប្រវត្តិពីការបញ្ចប់ភារកិច្ច
Automatically mark milestones as missed when overdue,សម្គាល់ព្រឹត្តិការណ៍សំខាន់ថាបានខកខានស្វ័យប្រវត្តិពេលផុតកំណត់
Automation rule {0} not found,រកមិនឃើញច្បាប់ស្វ័យប្រវត្តិកម្ម {0}
Automation: {0},ស្វ័យប្រវត្តិកម្ម: {0}
Availability,ភាពអាចរកបាន
Available,អាចរកបាន
Avatar updated successfully,រូបតំណាងត្រូវបានធ្វើបច្ចុប្បន្នភាពដោយជោគជ័យ
Avg Progress,វឌ្ឍនភាពមធ្យម
Back,ថយក្រោយ
Back to Portal,ត្រឡប់ទៅវិបផតថល
Back to Projects,ត្រឡប់ទៅគម្រោង
Beginner,អ្នកចាប់ផ្ដើម
Best regards,ដោយក្ដីគោរព
Billable,អាចគិតថ្លៃបាន
Billable Amount,ចំនួនទឹកប្រាក់អាចគិតថ្លៃបាន
Billable Hours,ម៉ោងអាចគិតថ្លៃបាន
Billable Rate,អត្រាអាចគិតថ្លៃបាន
Billing Rate,អត្រាវិក្កយបត្រ
Blocked,បានទប់ស្កាត់
Both dates are needed to display task as a bar in Gantt chart,ត្រូវការកាលបរិច្ឆេទទាំងពីរដើម្បីបង្ហាញភារកិច្ចជារបារក្នុងតារាង Gantt
Both doctype and docname are required,ត្រូវការ doctype និង docname ទាំងពីរ
Both proposed start and end times are required,ត្រូវការពេលវេលាចាប់ផ្ដើម និងបញ្ចប់ដែលបានស្នើទាំងពីរ
Both task_name and depends_on are required,ត្រូវការ task_name និង depends_on ទាំងពីរ
Breadcrumb,ផ្លូវរុករក
Brief description of the defect or damage,ការពិពណ៌នាសង្ខេបអំពីកំហុស ឬការខូចខាត
Brief description of this template,ការពិពណ៌នាសង្ខេបអំពីគំរូនេះ
Brief description of your request,ការពិពណ៌នាសង្ខេបអំពីសំណើរបស់អ្នក
Brief project description,ការពិពណ៌នាគម្រោងសង្ខេប
Budget,ថវិកា
Budget at risk,ថវិកាមានហានិភ័យ
Budget Burn Rate,អត្រាការប្រើប្រាស់ថវិកា
Budget Status,ស្ថានភាពថវិកា
Budget updated,ថវិកាត្រូវបានធ្វើបច្ចុប្បន្នភាព
Budget:,ថវិកា:
Bug,កំហុស
Burn Rate,អត្រាការប្រើប្រាស់
Busy,រវល់
By,ដោយ
By Assignee,តាមអ្នកទទួលបន្ទុក
By Group,តាមក្រុម
By Milestone,តាមព្រឹត្តិការណ៍សំខាន់
By Priority,តាមអាទិភាព
By Status,តាមស្ថានភាព
Cancel,បោះបង់
Cancelled,បានបោះបង់
cannot be undone,មិនអាចត្រឡប់វិញបានទេ
Cannot delete client with {0} linked projects. Unlink projects first.,មិនអាចលុបអតិថិជនដែលមាន {0} គម្រោងភ្ជាប់បានទេ។ សូមផ្ដាច់គម្រោងជាមុនសិន។
Cannot delete project with {0} linked tasks. Delete tasks first.,មិនអាចលុបគម្រោងដែលមាន {0} ភារកិច្ចភ្ជាប់បានទេ។ សូមលុបភារកិច្ចជាមុនសិន។
Cannot delete resource with {0} active assignments. Complete or cancel them first.,មិនអាចលុបធនធានដែលមាន {0} ការចាត់តាំងសកម្មបានទេ។ សូមបញ្ចប់ ឬបោះបង់ពួកវាជាមុនសិន។
Cannot delete task with {0} subtasks. Delete subtasks first.,មិនអាចលុបភារកិច្ចដែលមាន {0} ភារកិច្ចរងបានទេ។ សូមលុបភារកិច្ចរងជាមុនសិន។
Capacity,សមត្ថភាព
capacity,សមត្ថភាព
Capacity & Rates,សមត្ថភាព និងអត្រា
Capture project structure for reuse,ចាប់យករចនាសម្ព័ន្ធគម្រោងសម្រាប់ប្រើឡើងវិញ
Cascade,បន្តបន្ទាប់
Cascade Preview,មើលជាមុនបន្តបន្ទាប់
Category,ប្រភេទ
Celebrate,អបអរ
Change,ផ្លាស់ប្ដូរ
Change History,ប្រវត្តិការផ្លាស់ប្ដូរ
Change Priority,ផ្លាស់ប្ដូរអាទិភាព
Change Status,ផ្លាស់ប្ដូរស្ថានភាព
Changes,ការផ្លាស់ប្ដូរ
Changes appear when fields are modified.,ការផ្លាស់ប្ដូរបង្ហាញពេលវាលត្រូវបានកែប្រែ។
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,បញ្ជីត្រួតពិនិត្យ
Checklist item name is required,ឈ្មោះធាតុបញ្ជីត្រួតពិនិត្យគឺចាំបាច់
Checklist item not found,រកមិនឃើញធាតុបញ្ជីត្រួតពិនិត្យ
Checklist item title is required,ចំណងជើងធាតុបញ្ជីត្រួតពិនិត្យគឺចាំបាច់
Checklist item {0} not found,រកមិនឃើញធាតុបញ្ជីត្រួតពិនិត្យ {0}
Checklist item {0} not found in task,រកមិនឃើញធាតុបញ្ជីត្រួតពិនិត្យ {0} ក្នុងភារកិច្ច
Child,កូន
Choose file to upload,ជ្រើសរើសឯកសារដើម្បីផ្ទុកឡើង
Circular dependency detected: {0},បានរកឃើញភាពអាស្រ័យរង្វង់: {0}
Circular parent-child relationship detected,បានរកឃើញទំនាក់ទំនងមេ-កូនរង្វង់
Clear,សម្អាត
Clear all read,សម្អាតទាំងអស់ដែលបានអាន
Clear date,សម្អាតកាលបរិច្ឆេទ
Click on an activity from the list to view and manage its details.,ចុចលើសកម្មភាពពីបញ្ជីដើម្បីមើល និងគ្រប់គ្រងព័ត៌មានលម្អិត។
Click the avatar to upload a new photo,ចុចលើរូបតំណាងដើម្បីផ្ទុកឡើងរូបថតថ្មី
Click to add description...,ចុចដើម្បីបន្ថែមការពិពណ៌នា...
Click to add notes...,ចុចដើម្បីបន្ថែមកំណត់ចំណាំ...
Click to assign contact,ចុចដើម្បីចាត់តាំងទំនាក់ទំនង
Click to change status,ចុចដើម្បីផ្លាស់ប្ដូរស្ថានភាព
Click to change type,ចុចដើម្បីផ្លាស់ប្ដូរប្រភេទ
Click to edit,ចុចដើម្បីកែប្រែ
Click to edit budget,ចុចដើម្បីកែប្រែថវិកា
Click to edit description,ចុចដើម្បីកែប្រែការពិពណ៌នា
Click to edit end date,ចុចដើម្បីកែប្រែកាលបរិច្ឆេទបញ្ចប់
Click to edit milestone name,ចុចដើម្បីកែប្រែឈ្មោះព្រឹត្តិការណ៍សំខាន់
Click to edit rate,ចុចដើម្បីកែប្រែអត្រា
Click to edit start date,ចុចដើម្បីកែប្រែកាលបរិច្ឆេទចាប់ផ្ដើម
Click to edit title,ចុចដើម្បីកែប្រែចំណងជើង
Click to load,ចុចដើម្បីផ្ទុក
Click to set group dependency...,ចុចដើម្បីកំណត់ភាពអាស្រ័យក្រុម...
Click to set group...,ចុចដើម្បីកំណត់ក្រុម...
Click to view,ចុចដើម្បីមើល
Click to view at-risk projects,ចុចដើម្បីមើលគម្រោងមានហានិភ័យ
Click to view critical projects,ចុចដើម្បីមើលគម្រោងសំខាន់
Click to view healthy projects,ចុចដើម្បីមើលគម្រោងដែលមានសុខភាពល្អ
Client,អតិថិជន
Client already has a portal user: {0},អតិថិជនមានអ្នកប្រើប្រាស់វិបផតថលរួចហើយ: {0}
Client already has portal access,អតិថិជនមានសិទ្ធិចូលវិបផតថលរួចហើយ
Client has no portal user to revoke,អតិថិជនមិនមានអ្នកប្រើប្រាស់វិបផតថលដើម្បីដកហូតទេ
Client link removed from project {0},តំណអតិថិជនត្រូវបានដកចេញពីគម្រោង {0}
Client Portal,វិបផតថលអតិថិជន
Client {0} deleted successfully,អតិថិជន {0} ត្រូវបានលុបដោយជោគជ័យ
Close,បិទ
Close (Esc),បិទ (Esc)
Comment,មតិយោបល់
comment,មតិយោបល់
Comment added,បានបន្ថែមមតិយោបល់
Comment content is required,ខ្លឹមសារមតិយោបល់គឺចាំបាច់
Comment name is required,ឈ្មោះមតិយោបល់គឺចាំបាច់
Comment not found,រកមិនឃើញមតិយោបល់
Comment removed,មតិយោបល់ត្រូវបានដកចេញ
Comment {0} not found in task,រកមិនឃើញមតិយោបល់ {0} ក្នុងភារកិច្ច
Comments,មតិយោបល់នានា
comments,មតិយោបល់
Community Edition,Community Edition
Company,ក្រុមហ៊ុន
Company name...,ឈ្មោះក្រុមហ៊ុន...
Complete,បញ្ចប់
Completed,បានបញ្ចប់
completed,បានបញ្ចប់
Completed Tasks,ភារកិច្ចដែលបានបញ្ចប់
Compliance,ការអនុលោម
Configure default values for new projects and tasks,កំណត់រចនាសម្ព័ន្ធតម្លៃលំនាំដើមសម្រាប់គម្រោង និងភារកិច្ចថ្មី
Configure email notification settings,កំណត់រចនាសម្ព័ន្ធការកំណត់ការជូនដំណឹងតាមអ៊ីមែល
Confirm,បញ្ជាក់
Contact deleted,ទំនាក់ទំនងត្រូវបានលុប
Contact Details,ព័ត៌មានលម្អិតទំនាក់ទំនង
Contact Information,ព័ត៌មានទំនាក់ទំនង
Contact name is required,ឈ្មោះទំនាក់ទំនងគឺចាំបាច់
Contact Support,ទាក់ទងផ្នែកគាំទ្រ
Contact your project manager for more information.,ទាក់ទងអ្នកគ្រប់គ្រងគម្រោងរបស់អ្នកសម្រាប់ព័ត៌មានបន្ថែម។
Contact:,ទំនាក់ទំនង:
Contacts,ទំនាក់ទំនងនានា
Context,បរិបទ
Contractor,អ្នកម៉ៅការ
Cost estimate cannot be negative,ការប៉ាន់ស្មានថ្លៃដើមមិនអាចជាអវិជ្ជមានបានទេ
Cost Impact,ផលប៉ះពាល់ថ្លៃដើម
Cost Summary,សង្ខេបថ្លៃដើម
Could not apply the template. Please try again.,មិនអាចអនុវត្តគំរូបានទេ។ សូមព្យាយាមម្ដងទៀត។
Could not attach file to project,មិនអាចភ្ជាប់ឯកសារទៅគម្រោងបានទេ
Could not change task priority,មិនអាចផ្លាស់ប្ដូរអាទិភាពភារកិច្ចបានទេ
Could not change task status,មិនអាចផ្លាស់ប្ដូរស្ថានភាពភារកិច្ចបានទេ
Could not delete the project. Please try again.,មិនអាចលុបគម្រោងបានទេ។ សូមព្យាយាមម្ដងទៀត។
Could not delete the task. Please try again.,មិនអាចលុបភារកិច្ចបានទេ។ សូមព្យាយាមម្ដងទៀត។
Could not delete the template.,មិនអាចលុបគំរូបានទេ។
Could not duplicate the task. Please try again.,មិនអាចចម្លងភារកិច្ចបានទេ។ សូមព្យាយាមម្ដងទៀត។
Could not export the template.,មិនអាចនាំចេញគំរូបានទេ។
Could not import the template. Please check the file format.,មិនអាចនាំចូលគំរូបានទេ។ សូមពិនិត្យទម្រង់ឯកសារ។
Could not link task to milestone,មិនអាចភ្ជាប់ភារកិច្ចទៅព្រឹត្តិការណ៍សំខាន់បានទេ
Could not load document details.,មិនអាចផ្ទុកព័ត៌មានលម្អិតឯកសារបានទេ។
Could not load task details,មិនអាចផ្ទុកព័ត៌មានលម្អិតភារកិច្ចបានទេ
Could not promote checklist item to task.,មិនអាចដំឡើងធាតុបញ្ជីត្រួតពិនិត្យទៅភារកិច្ចបានទេ។
Could not remove task from milestone,មិនអាចដកភារកិច្ចចេញពីព្រឹត្តិការណ៍សំខាន់បានទេ
Could not save budget.,មិនអាចរក្សាទុកថវិកាបានទេ។
Could not save changes to the milestone,មិនអាចរក្សាទុកការផ្លាស់ប្ដូរទៅព្រឹត្តិការណ៍សំខាន់បានទេ
Could not save changes to the task,មិនអាចរក្សាទុកការផ្លាស់ប្ដូរទៅភារកិច្ចបានទេ
Could not save description.,មិនអាចរក្សាទុកការពិពណ៌នាបានទេ។
Could not save end date.,មិនអាចរក្សាទុកកាលបរិច្ឆេទបញ្ចប់បានទេ។
Could not save milestone name.,មិនអាចរក្សាទុកឈ្មោះព្រឹត្តិការណ៍សំខាន់បានទេ។
Could not save start date.,មិនអាចរក្សាទុកកាលបរិច្ឆេទចាប់ផ្ដើមបានទេ។
Could not save the template. Please try again.,មិនអាចរក្សាទុកគំរូបានទេ។ សូមព្យាយាមម្ដងទៀត។
Could not save title.,មិនអាចរក្សាទុកចំណងជើងបានទេ។
Could not update dependency mode.,មិនអាចធ្វើបច្ចុប្បន្នភាពរបៀបភាពអាស្រ័យបានទេ។
Could not update milestone date,មិនអាចធ្វើបច្ចុប្បន្នភាពកាលបរិច្ឆេទព្រឹត្តិការណ៍សំខាន់បានទេ
Could not update project status.,មិនអាចធ្វើបច្ចុប្បន្នភាពស្ថានភាពគម្រោងបានទេ។
Could not update project type.,មិនអាចធ្វើបច្ចុប្បន្នភាពប្រភេទគម្រោងបានទេ។
Could not update setting.,មិនអាចធ្វើបច្ចុប្បន្នភាពការកំណត់បានទេ។
Could not update task dates,មិនអាចធ្វើបច្ចុប្បន្នភាពកាលបរិច្ឆេទភារកិច្ចបានទេ
Could not update task status,មិនអាចធ្វើបច្ចុប្បន្នភាពស្ថានភាពភារកិច្ចបានទេ
Could not update the template.,មិនអាចធ្វើបច្ចុប្បន្នភាពគំរូបានទេ។
Create a copy of this task,បង្កើតច្បាប់ចម្លងនៃភារកិច្ចនេះ
Create Contact,បង្កើតទំនាក់ទំនង
Create Event,បង្កើតព្រឹត្តិការណ៍
Create Milestone,បង្កើតព្រឹត្តិការណ៍សំខាន់
Create New Milestone,បង្កើតព្រឹត្តិការណ៍សំខាន់ថ្មី
Create New Task,បង្កើតភារកិច្ចថ្មី
Create Project,បង្កើតគម្រោង
Create Task,បង្កើតភារកិច្ច
Create tasks and milestones from a template,បង្កើតភារកិច្ច និងព្រឹត្តិការណ៍សំខាន់ពីគំរូ
Create your first project to get started.,បង្កើតគម្រោងដំបូងរបស់អ្នកដើម្បីចាប់ផ្ដើម។
Create your first task to start tracking work on this project.,បង្កើតភារកិច្ចដំបូងរបស់អ្នកដើម្បីចាប់ផ្ដើមតាមដានការងារលើគម្រោងនេះ។
Created,បានបង្កើត
Creating...,កំពុងបង្កើត...
Critical,សំខាន់បំផុត
Critical Path,ផ្លូវវិបត្តិ
"Currency used for budgets, costs, and billing rates",រូបិយប័ណ្ណប្រើសម្រាប់ថវិកា ថ្លៃដើម និងអត្រាវិក្កយបត្រ
Current,បច្ចុប្បន្ន
Current Assignments,ការចាត់តាំងបច្ចុប្បន្ន
Current scheduled time:,ពេលវេលាដែលបានកំណត់បច្ចុប្បន្ន:
Currently running version,Currently running version
d lag,ថ្ងៃយឺត
Daily Availability,ភាពអាចរកបានប្រចាំថ្ងៃ
Daily Hours,ម៉ោងប្រចាំថ្ងៃ
Danger Zone,តំបន់គ្រោះថ្នាក់
Dark,ងងឹត
Dashboard,ផ្ទាំងគ្រប់គ្រង
Date,កាលបរិច្ឆេទ
Date changes on this task will show cascade impact here,ការផ្លាស់ប្ដូរកាលបរិច្ឆេទលើភារកិច្ចនេះនឹងបង្ហាញផលប៉ះពាល់បន្តបន្ទាប់នៅទីនេះ
Date cleared,កាលបរិច្ឆេទត្រូវបានសម្អាត
Date of Joining,កាលបរិច្ឆេទចូលធ្វើការ
Date updated,កាលបរិច្ឆេទត្រូវបានធ្វើបច្ចុប្បន្នភាព
Dates,កាលបរិច្ឆេទនានា
Dates cascaded,កាលបរិច្ឆេទបានបន្តបន្ទាប់
Dates will be relative to the project's start date.,កាលបរិច្ឆេទនឹងទាក់ទងទៅនឹងកាលបរិច្ឆេទចាប់ផ្ដើមគម្រោង។
Day,ថ្ងៃ
day,ថ្ងៃ
days,ថ្ងៃ
Days before due date to send reminder,ចំនួនថ្ងៃមុនកាលបរិច្ឆេទផុតកំណត់ដើម្បីផ្ញើការរំលឹក
Days Overdue,ថ្ងៃផុតកំណត់
Days Remaining,ថ្ងៃនៅសល់
Deadline,កាលកំណត់
Deadlines,កាលកំណត់នានា
Decision,សេចក្ដីសម្រេច
Decline,បដិសេធ
Declined,បានបដិសេធ
Default Currency,រូបិយប័ណ្ណលំនាំដើម
Default hours per week for contact capacity planning,ម៉ោងលំនាំដើមក្នុងមួយសប្ដាហ៍សម្រាប់ផែនការសមត្ថភាពទំនាក់ទំនង
Default Priority,អាទិភាពលំនាំដើម
Default Project Status,ស្ថានភាពគម្រោងលំនាំដើម
Default Task Status,ស្ថានភាពភារកិច្ចលំនាំដើម
Default task view,ទិដ្ឋភាពភារកិច្ចលំនាំដើម
Default Values,តម្លៃលំនាំដើម
Default Weekly Capacity,សមត្ថភាពប្រចាំសប្ដាហ៍លំនាំដើម
Defaults,លំនាំដើម
Defect Cost Impact,ផលប៉ះពាល់ថ្លៃដើមកំហុស
Defect name is required,ឈ្មោះកំហុសគឺចាំបាច់
Defect Type,ប្រភេទកំហុស
Defect {0} not found,រកមិនឃើញកំហុស {0}
Defects,កំហុសនានា
Defects & Issues,កំហុស និងបញ្ហា
Defects Resolved,កំហុសដែលបានដោះស្រាយ
Delayed,បានពន្យារ
Delete,លុប
Delete Activity Data,លុបទិន្នន័យសកម្មភាព
Delete all read notifications?,លុបការជូនដំណឹងដែលបានអានទាំងអស់?
Delete comment,លុបមតិយោបល់
Delete Contact,លុបទំនាក់ទំនង
Delete Event,លុបព្រឹត្តិការណ៍
Delete Event?,លុបព្រឹត្តិការណ៍?
Delete failed,ការលុបបានបរាជ័យ
Delete file,លុបឯកសារ
Delete item,លុបធាតុ
Delete note,លុបកំណត់ចំណាំ
Delete Project,លុបគម្រោង
Delete Task,លុបភារកិច្ច
Delete this project,លុបគម្រោងនេះ
Deleted,បានលុប
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","បានលុបគម្រោង ""{0}"" ({1} ភារកិច្ច, {2} ព្រឹត្តិការណ៍សំខាន់)"
Deletes notes and preferences. Source document is not affected.,លុបកំណត់ចំណាំ និងចំណូលចិត្ត។ ឯកសារប្រភពមិនត្រូវបានប៉ះពាល់ទេ។
Deleting...,កំពុងលុប...
